id,instagram,twitter,facebook,spotify,twitch,patreon,vk,plus.google,play.google,steam,myspace,merchandise
UCey_5HjnJ1EYI7k-_bjVFTg,0,0,0,0,0,0,0,0,0,0,0,0
UC66qTRH20AvahadBgw5YYyQ,1,0,1,0,0,0,0,0,0,0,0,0
UC_w1BVttp1X2wDJsm-xbnCA,1,0,1,0,0,0,0,0,0,0,0,0
UC6nlVQNUBIOHpRG-WJwDrsA,0,0,0,0,0,0,0,0,0,0,0,0
UCyPz82J9A8xU5L6lHyLVHpw,1,0,1,0,0,0,0,0,0,0,0,0
UCDlMf3zbdoWYzTwQsaD0fRA,1,1,1,0,0,0,0,0,0,0,0,0
UCpYye8D5fFMUPf9nSfgd4bA,0,0,1,1,0,0,0,0,0,0,0,0
UC_NQM41t_vKHOXjjglGUKaw,0,0,1,0,0,0,0,0,0,0,0,0
UCSNgN8kLQ9Tj93Q4OZzQfMA,0,0,0,0,0,0,0,0,0,0,0,0
UCrqibU7I1_b1M06OLieE-Rw,0,0,0,0,0,0,0,0,0,0,0,0
UC2TndVNTUc15LFYtWU5Cgbg,1,1,1,0,0,0,0,0,0,0,0,0
UCH8YVMiSz89yFnDhKC-fByQ,1,0,1,0,1,0,0,0,0,0,0,0
UCCXx3XcQMzeHK8QK_mMbwhw,0,0,0,0,0,0,0,0,0,0,0,0
UCdIdODXT0pF69ZetPFcvIVw,1,1,0,0,0,0,0,0,0,0,0,0
UCxUZwdsqshu2iLQwdEE6e7Q,1,0,1,0,0,0,0,0,0,0,0,0
UCanlycN4wHIIb2f1G9cMzTw,0,0,0,0,0,0,0,0,0,0,0,0
UCcOj1rEHLhu3QDHP_gGgVkg,0,0,0,0,0,0,0,0,0,0,0,0
UCPC55dCdzIjNJd421LbK3uw,0,0,0,0,0,0,0,0,0,0,0,0
UCyf6g7DAPhMmrdHvU-JhPAQ,0,0,0,0,0,0,0,0,0,0,0,0
UCquMFVZvpf8eczgNSnCgYlw,0,0,0,0,0,0,0,0,0,0,0,0
UC2jbl74JBq11F3F6JVDjVoA,0,0,0,0,0,0,0,0,0,0,0,0
UCfYbdAudQpibCmMkJhPpOJg,1,0,1,0,0,1,0,0,0,0,0,0
UCpf1jZWZFaN8IbvSYj6V4xg,0,0,0,0,0,0,0,0,0,0,0,0
UCQemutUrc8R-t0YxFqynZrQ,1,0,1,0,0,0,0,0,0,0,0,0
UCCFvB7uMIGYE9zOPim66cSw,0,0,1,0,0,0,0,0,0,0,0,0
UCRqYmG1fVurWEsZ2nUqX3Bw,0,0,0,0,0,0,0,0,0,0,0,0
UCAapLx9Jr4aClLgkrFRTZAQ,1,1,1,0,0,0,0,0,1,0,0,0
UCCLP0sZ8fmtoc3y1__5P3JQ,1,1,1,0,0,0,0,0,0,0,0,0
UCbCmjCuTUZos6Inko4u57UQ,1,1,1,1,0,0,0,0,0,0,0,0
UCsDAemirN7qaUriaXzsFaHA,0,0,0,0,0,0,0,0,0,0,0,0
