id,instagram,twitter,facebook,spotify,twitch,patreon,vk,plus.google,play.google,steam,myspace,merchandise
UCTZnWCGgt1dLylZxMeVo4CA,1,1,1,0,0,0,0,0,0,0,0,0
UCHOYIw-v89B96xskc2kkapg,0,1,0,0,0,0,0,0,0,0,0,0
UClsDI_I7vsPFNH4a1q1Ls6Q,1,1,1,0,1,0,0,0,0,0,0,0
UC_XCPoXm0LTe5idOovptxZg,0,0,0,0,0,0,0,0,0,0,0,0
UCdaVCV94GjPRZ1oTBjZNhiQ,0,0,0,0,0,0,0,0,0,0,0,0
UCNC0gjftkU6yfNO7JnAXnNw,0,0,0,0,0,0,0,0,0,0,0,0
UCqSCmrKSbLZ3TN2KVvw0KPQ,0,0,0,0,0,0,0,0,0,0,0,0
UCZwEC_Qnv7stSlQilIqhSdw,0,0,0,0,0,0,0,0,0,0,0,0
UCdv0wBAnP-bKb7RaGfNSkgg,0,0,0,0,0,0,0,0,0,0,0,0
UCynXlSwTDlgZ7PZAHH-BIWw,0,0,0,0,0,0,0,0,0,0,0,0
UCu734S2oW5iriwq7XHex_yQ,0,1,0,0,0,0,0,0,0,0,0,0
UCkRH0fc91IM-uVc2AAXNfBg,0,0,0,0,0,0,0,0,0,0,0,0
UCFU9lf8r0uPjljJCJ8jTfqw,0,0,0,0,0,0,0,0,0,0,0,0
UCXV5iJSJRIShEB4_y5t5ABg,0,0,0,0,0,0,0,0,0,0,0,0
UCbNFUTOKtO3UOrRlVFXDzeg,0,0,0,0,0,0,0,0,0,0,0,0
UCXCOJBk_loOVSjANGt9YNnQ,0,0,0,0,0,0,0,0,0,0,0,0
UCKjjmMqvuxNYw8c6knceexQ,0,1,1,0,0,0,0,0,0,0,0,0
UCkDbxGSyvOgR8UJj3m0GC6Q,1,1,1,0,1,0,0,0,0,0,0,0
UC5SiPh4uWz88zDFbBN-Tdiw,0,0,0,0,0,0,0,0,0,0,0,0
UCyhSNdYfvlqa5Jof41H6Jng,0,0,0,0,0,0,0,0,0,0,0,0
UCZvEw3WF-ovUhLFtH1SKzMA,0,0,0,0,0,0,0,0,0,0,0,0
UCxCnNU678-ANZPJLClL-X-g,1,1,1,0,0,0,0,0,0,0,0,0
UCIIGTHiXNSpr_oQZp9N-TmQ,1,1,1,0,1,0,0,0,0,0,0,0
UCg8GEoh4lHGCGasdXxtJlFg,0,0,0,0,0,0,0,0,0,0,0,0
