id,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surpise,Trust
UCbNFUTOKtO3UOrRlVFXDzeg,0,0,0,0,0,0,0,0
UCda6cVHHXVEV5C_PG0CPUlQ,0,0,0,0,0,0,0,0
UCfqAKZyFOKG2kd1I-YzkynQ,0,1,0,0,1,0,0,1
UCfFWC49dDYS0akrNrMdpJpQ,0,0,0,0,1,0,0,1
UCMBWnFrNI9CGeUwfxlm82Nw,0,0,0,0,0,0,0,0
UC8PjUR3_ggDFFQ128cU2x6A,0,1,0,0,0,0,0,0
UCXCOJBk_loOVSjANGt9YNnQ,1,0,0,0,1,1,0,0
UCKjjmMqvuxNYw8c6knceexQ,0,0,0,0,1,0,0,1
UC0Hm5Nghgh9Sc5BM0VXfZ-A,0,0,0,0,0,0,0,0
UCN5Zf3Zyb9Bp9NeqtNwnc5w,0,1,0,0,1,0,0,0
UCMByxhBLmPtvBMVpMSQrvNQ,0,0,0,0,0,0,0,0
UCkDbxGSyvOgR8UJj3m0GC6Q,1,0,1,0,1,0,1,0
UC5SiPh4uWz88zDFbBN-Tdiw,0,0,0,0,0,0,0,0
UCyhSNdYfvlqa5Jof41H6Jng,0,0,0,0,0,0,0,0
UCZvEw3WF-ovUhLFtH1SKzMA,0,0,0,0,0,0,0,1
UCxCnNU678-ANZPJLClL-X-g,0,1,0,0,0,0,0,0
UCIIGTHiXNSpr_oQZp9N-TmQ,0,0,0,0,1,0,0,0
UCg8GEoh4lHGCGasdXxtJlFg,0,0,0,0,0,0,0,0
UCEnEbZnMufWAXGEo68KqvzQ,0,0,0,0,1,0,0,0
UCAkqtSoNBNbOrNTG4LlhotA,0,0,0,0,0,0,0,0
UCAHtekbg5FCHdquuMiqv3Yg,0,0,0,0,0,0,0,0
UChFt_sbmy5DX15GPeqWr73w,0,0,0,0,0,0,0,0
UCrfnhIalN_slWiUEg5r588Q,0,1,0,0,1,0,0,0
UCYx5Fnqws-zRmuBQMy5kUeA,0,0,0,0,0,0,0,0
UCNZQ8bDdOl3DQ5B9GSw7sNw,0,0,0,0,0,0,0,0
UCd9g58qzd3TS_5WB4zKqNsA,0,1,0,0,1,0,0,0
UCt5EQ9hAFgZ_nHrGCDSfQWQ,0,0,1,1,1,0,0,1
UCzv1xDJ3Q2PNY68xL0lSGog,1,1,1,0,1,0,0,1
UCWyOeMB7Vp4ii1qXkyoyNGQ,0,1,0,0,1,0,0,1
UCgw36rLk7ylKelo-aisAEAg,0,0,0,0,0,0,0,0
UCP36itunkuNWoGSbGyd3kHw,0,0,0,0,0,0,0,0
UCli0urGBIeBxlMJuwFnbmuQ,0,0,0,0,0,0,0,1
UCPkiOcDtHWZtlTilespn2xA,0,0,0,0,1,0,0,0
UCFuPSIZ-o3FeI7lG62LLmSg,0,0,0,0,1,0,0,1
UCVmiN4HMG9sc4Em5F0jGR_A,0,1,0,0,1,0,0,1
UCsmHqTkPx9modsqcL5J9hUg,0,0,0,0,0,0,0,0
UCbr68WEJ3e1W5NHIPL5RR3g,0,0,0,0,0,0,0,0
UCxB_KaKhlYG_o5wEKJYNr_A,0,0,0,0,0,0,0,0
UCGmwjdVPreAXW0NfBqSSYfw,0,1,0,0,1,0,0,1
UCreSJmU8utwY-kF_TRAwnWQ,0,0,0,0,0,0,0,0
UCDGBHWphU5n9ISc9QfGb_Ug,0,0,0,0,0,0,0,0
UCFbGqIaWIqk82dpu0uEYX-Q,0,0,0,0,0,0,0,0
UCqjvNcLjhQH9ylSzmJBzhJA,0,0,0,0,0,0,0,0
UC_cMe_KH6PbKh51OmRVVyqA,0,0,0,0,0,0,0,0
UCjHxmKEZVuf75jFc9oRVk_w,0,1,0,0,1,0,0,0
UC6I6WaljvnH6hsfErd-Ebew,0,0,0,0,0,0,0,0
UCz0nD84-6FTFWGS9MAT0oQQ,0,0,0,0,0,0,0,0
UCUeUUFK2xI8zXT_ureim3Bw,1,0,1,0,0,0,0,0
UCdBRRDF8PiUeOka5Q7V2nHA,0,0,0,0,0,0,0,0
UC0fPuRU5fsyhBsXM3lhPFZg,0,1,0,0,1,0,0,0
UCcv6qkluKQRBmi7PZrh9img,0,0,0,0,1,0,0,0
UCWbMcuiNT18DDyNn-iX8Ing,0,0,0,0,0,0,0,0
UCXYni4BNbPv-2xXEX7KjjDw,0,0,0,0,0,0,0,0
UCsnA-YsBmr9niszHPuemCnw,0,0,0,0,0,0,0,0
UC2jI1MhYqtdFpvOfrwqj-Bg,0,0,0,0,0,0,0,0
UC7bhRntiK4KyYpx6Jw22rgA,0,0,0,0,0,0,0,0
UCRtYTqmiX6Ul9wIwGw3y3OA,0,0,0,0,0,0,0,0
UCJdcwVhLwkVPkrildpdXixQ,0,0,0,0,1,0,0,1
UC-x0BxAq_STsdGSg_kbrLvA,0,0,0,0,1,0,1,0
UCl8hrY7iGNpiigKR2tdTQ8w,0,0,0,0,0,0,0,0
UCMtL4buTHs1W0uLEmByf8wQ,0,0,0,0,0,0,0,0
UCnZrjucYjaXKUx8rD3qOBlw,0,1,0,0,1,0,0,1
UCgtw6ik2gXRPiROCqNPve3A,0,0,0,0,0,0,0,0
UCc2a-EQcBbsHgSMTsr983gA,1,1,0,0,1,0,0,1
UCiJRKD3r4M23mHUhM6ro8iQ,0,0,0,0,0,0,0,1
UCdH_gd_-X8DAZOYyWrssZBQ,0,0,0,0,1,0,0,1
UC_6dOZDKErrAtKMHBCGOEhg,0,0,0,0,0,0,0,0
UCymxonPm7jMKsbqcydJD0rA,0,1,0,0,0,0,0,0
UCwTee6jGG-AhD9s57U6G9Ug,0,0,0,0,0,0,0,0
UCkkkiLEY93il3NA_ECZHAag,1,0,0,0,0,0,0,0
UCimgFtU9Qz5Pr8rQn90f88g,0,0,0,0,0,0,0,0
UCMNmwqCtCSpftrbvR3KkHDA,0,0,0,0,0,0,0,0
UCn9EI5qeV8nwS3I9TEMCRLg,0,0,0,0,0,0,0,0
UCLq_SYAsBOAHmWE6CoGzaTw,0,1,0,0,1,0,0,1
UCgLwTbHdxcX6gfgANwiQzfA,0,0,0,0,0,0,0,0
UC-9Kmk6Nt_xF-lRcMhI8hKQ,0,0,0,0,0,0,0,0
UCgEVRe7PEZQUEyuuxMwdVmQ,1,0,0,0,0,0,0,0
UC7hxro6moIkO494gY7ch3kg,1,0,1,0,1,0,0,1
UCCpPM66Mh7dAsOM377v46xw,0,0,0,0,1,0,0,0
UCQXg18hGq8ODC_qyVygaHEA,0,0,0,0,0,0,0,0
UCYNaT3jLeU7rZW_GAix7YTw,0,0,0,0,1,0,0,0
UCUZMdWGFP4iO4ZG3ilo0VpA,0,0,0,0,0,0,0,0
UC1o6smXb21IK3HV0yUcOFNg,0,1,0,0,0,0,0,0
UC3JHCzY6z7WFAXVSVg-8l2w,0,0,0,0,1,0,0,0
UCRXipGpOXxUwHevlpsltmfQ,1,0,0,0,1,0,0,0
UCObgw7K0mzkxaNroxQpKSDg,0,0,0,0,0,0,0,0
UCpB959t8iPrxQWj7G6n0ctQ,0,1,0,0,1,0,0,1
UC62MMCDZuEV5Cufqr3-vtVA,0,0,0,0,0,0,0,0
